Exam1,Exam2,Admitted
34.6237,78.0247,0
30.2867,43.8950,0
35.8474,72.9022,0
45.0833,56.3164,0
95.8616,38.2253,0
75.0137,30.6033,0
39.5383,76.0368,0
67.9469,46.6786,0
67.372,42.8384,0
50.5348,48.8558,0
34.2121,44.2095,0
93.1144,38.8007,0
61.8302,50.2561,0
38.7858,64.9957,0
52.108,63.1276,0
40.2369,71.1677,0
54.6351,52.2139,0
33.9155,98.8694,0
74.7893,41.5734,0
34.1836,75.2377,0
51.5477,46.8563,0
82.3688,40.6183,0
51.0478,45.8227,0
62.2227,52.0610,0
34.5245,60.3963,0
50.2865,49.8045,0
49.5867,59.8090,0
32.5772,95.5985,0
35.2861,47.0205,0
56.2538,39.2615,0
60.1826,86.3086,1
79.0327,75.3444,1
61.1067,96.5114,1
75.0247,46.5540,1
76.0988,87.4206,1
84.4328,43.5334,1
82.3071,76.4820,1
69.3646,97.7187,1
53.9711,89.2074,1
69.0701,52.7405,1
70.6615,92.9271,1
76.9788,47.5760,1
89.6768,65.7994,1
77.9241,68.9724,1
62.271,69.9545,1
80.1902,44.8216,1
61.3793,72.8079,1
85.4045,57.0520,1
52.0454,69.4329,1
64.177,80.9081,1
83.9024,56.3080,1
94.4434,65.5689,1
77.193,70.4582,1
97.7716,86.7278,1
62.0731,96.7688,1
91.565,88.6963,1
79.9448,74.1631,1
99.2725,60.9990,1
90.5467,43.3906,1
97.6456,68.8616,1
74.2487,69.8246,1
71.7965,78.4536,1
75.3956,85.7599,1
40.4576,97.5352,1
80.2796,92.1161,1
66.7467,60.9914,1
64.0393,78.0317,1
72.3465,96.2276,1
60.4579,73.0950,1
58.841,75.8584,1
99.8279,72.3693,1
47.2643,88.4759,1
50.4582,75.8099,1
88.9139,69.8038,1
94.8345,45.6943,1
67.3193,66.5894,1
57.2387,59.5143,1
80.3668,90.9601,1
68.4685,85.5943,1
75.4777,90.4245,1
